Date,Time,0
2019-10-06 00:00:00,06:55:00,1
2019-10-06 00:00:00,06:30:00,1
2019-10-05 00:00:00,08:55:00,1
2019-10-05 00:00:00,08:00:00,1
2019-10-05 00:00:00,07:50:00,1
2019-10-05 00:00:00,07:30:00,1
2019-10-05 00:00:00,06:30:00,1
2019-10-04 00:00:00,08:48:00,1
2019-10-04 00:00:00,07:22:00,1
2019-10-04 00:00:00,07:17:00,1
2019-10-04 00:00:00,07:15:00,1
2019-09-26 00:00:00,06:30:00,1
2019-09-25 00:00:00,07:35:00,1
2019-09-12 00:00:00,06:00:00,1
2019-09-17 00:00:00,07:00:00,1
2019-09-21 00:00:00,06:44:00,1
2019-09-20 00:00:00,06:38:00,1
2019-09-20 00:00:00,06:31:00,1
2019-09-19 00:00:00,07:19:00,1
2019-09-19 00:00:00,06:30:00,1
2019-09-17 00:00:00,08:10:00,1
2019-09-17 00:00:00,07:49:00,1
2019-09-17 00:00:00,07:15:00,1
2019-09-17 00:00:00,07:05:00,1
2019-09-17 00:00:00,06:50:00,1
2019-09-25 00:00:00,06:20:00,1
2019-09-15 00:00:00,08:20:00,1
2019-09-15 00:00:00,07:20:00,1
2019-09-15 00:00:00,07:05:00,1
2019-09-14 00:00:00,08:40:00,1
2019-09-14 00:00:00,08:17:00,1
2019-09-14 00:00:00,06:45:00,1
2019-09-14 00:00:00,06:30:00,1
2019-09-12 00:00:00,07:27:00,1
2019-09-12 00:00:00,06:50:00,1
2019-09-21 00:00:00,07:25:00,1
2019-09-21 00:00:00,08:29:00,1
2019-09-21 00:00:00,11:00:00,1
2019-09-22 00:00:00,06:35:00,1
2019-09-25 00:00:00,06:19:00,1
2019-09-25 00:00:00,06:03:00,1
2019-09-24 00:00:00,6:35am,1
2019-09-24 00:00:00,08:45:00,1
2019-09-24 00:00:00,08:30:00,1
2019-09-24 00:00:00,08:20:00,1
2019-09-24 00:00:00,07:50:00,1
2019-09-24 00:00:00,07:45:00,1
2019-09-24 00:00:00,07:25:00,1
2019-09-24 00:00:00,07:15:00,1
